Player1_strategy,Player1_wins,Player2_wins,Player2_strategy,mcts_time,mean_time_per_game
RANDOM,4,96,MCTS,1000,0 days 00:01:39.169376000
AGGRESSIVE,79,21,MCTS,1000,0 days 00:01:14.152504000
CONTROLLING,79,21,MCTS,1000,0 days 00:01:33.048973000
RANDOM,7,93,MCTS,500,0 days 00:01:07.763816000
AGGRESSIVE,83,17,MCTS,500,0 days 00:00:46.392698000
CONTROLLING,94,6,MCTS,500,0 days 00:00:58.883923000
RANDOM,16,84,MCTS,250,0 days 00:00:45.760030000
AGGRESSIVE,87,13,MCTS,250,0 days 00:00:26.312260000
CONTROLLING,88,12,MCTS,250,0 days 00:00:33.675100000
RANDOM,25,75,MCTS,100,0 days 00:00:27.292958000
AGGRESSIVE,95,5,MCTS,100,0 days 00:00:14.550503000
